codigo,nombre,precioCompra,precioVenta,stock,descripcion,imagenArchivo,imagenUrl,activo
001,Plantilla de Trupan Ruleta,40,50,,Juego de ruleta educativa fabricada en trupan. Se utiliza en actividades didácticas y de aprendizaje.,,https://i.postimg.cc/sDFDBySJ/Whats-App-Image-2024-09-15-at-6-07-47-PM.jpg,true
002,Plantilla de Trupan Ascensor,25,35,,Modelo de ascensor en trupan. Ideal para proyectos de ingeniería y demostración de poleas y contrapesos.,,https://i.postimg.cc/Df4wymWZ/Whats-App-Image-2024-09-15-at-6-07-47-PM-1.jpg,true
003,Plantilla de Trupan Browser,25,35,,Mini proyecto de navegador hecho en trupan. Usado como ejemplo en prácticas de programación y diseño.,,https://i.postimg.cc/W1TNnn5F/Whats-App-Image-2024-09-15-at-6-07-46-PM.jpg,true
004,Plantilla de Trupan Moto,25,35,,Mini moto en trupan. Se utiliza en proyectos mecánicos y demostraciones de movimiento.,,https://i.postimg.cc/3RVrFQqY/Whats-App-Image-2024-09-15-at-6-07-48-PM-1.jpg,true
005,Plantilla de Trupan Wall-e,30,40,,Mini robot Wall-e en trupan. Usado en demostraciones de robótica básica.,,https://i.postimg.cc/7Y0khn3m/Captura-de-pantalla-2025-08-29-192513.png,true
006,Plantilla de Trupan Caracol,20,30,,Modelo de caracol en trupan. Representa robótica de movimiento lento y didáctico.,,https://i.postimg.cc/j2fx8kVN/Whats-App-Image-2024-09-15-at-6-07-47-PM-2.jpg,true
007,Plantilla de Trupan Tanque,25,35,,Mini tanque en trupan. Se utiliza en proyectos de tracción y movilidad.,,https://i.postimg.cc/bryrzVMD/Captura-de-pantalla-2025-08-29-192513.png,true
008,Plantilla de Trupan Brazo hidráulico,45,55,,Brazo hidráulico en trupan. Muestra principios de hidráulica para levantar y mover objetos.,,https://i.postimg.cc/Zqf50dF9/Whats-App-Image-2024-09-15-at-8-36-08-PM.jpg,true
009,Plantilla de Trupan Base Auto,10,25,,Base para auto en trupan. Usada como chasis para proyectos de vehículos pequeños.,,https://img.lazcdn.com/g/p/4bdf573d74b9beb992beb5590f06ae62.jpg_720x720q80.jpg,true
010,Motorreductor,9.50,25,,"Motor con caja reductora. Convierte velocidad en fuerza, usado en robótica y pequeños vehículos.",,https://multimarcas.com.bo/storage/images/productos/4345-0-1719854122.jpg,true
011,Motor DC 9V,6.5,14,,"Motor eléctrico de corriente continua 9V. Se usa en juguetes, prototipos y ventiladores caseros.",,https://5.imimg.com/data5/SELLER/Default/2023/7/329569507/ZR/KT/AS/9484237/3v-9v-dc-micro-toy-motor-500x500.jpg,true
012,Porta pila AA (para 1 pila),2,5,,Porta pilas AA simple. Suministra energía a proyectos pequeños.,,https://sumador.com/cdn/shop/products/Portapilapara1bateria18650-min_2048x2048.jpg?v=1589128653,true
013,Porta pila AA (para 2 pilas),3,6,,Porta pilas AA doble. Suministra energía a proyectos pequeños.,,https://i2celectronica.com/1800-large_default/porta-pilas-aa-2-pilas.jpg,true
014,Llantas motorreductor,5,9,,Ruedas para motores TT. Usadas en robots móviles y carritos.,,https://marboltec.com/wp-content/uploads/2022/10/Rueda-para-Motor-01.jpg,true
015,Porta pila 18650 (1 celda),8,13,,Soporte para batería 18650. Permite alimentar proyectos electrónicos de forma segura.,,https://marboltec.com/wp-content/uploads/2023/11/porta-pilas-18650-x1.jpg,true
016,Cautine punta plata,70,85,,Cautín con punta de plata. Herramienta para soldadura en electrónica.,,https://i.postimg.cc/Vs7pWDnF/123.jpg,true
017,Modulo de Carga TP 4056,13,30,,Módulo Cargador de batería litio TP4056 con protección USB-C,,https://naylampmechatronics.com/3970-superlarge_default/cargador-de-bateria-litio-tp4056-con-proteccion-usb-c.jpg,true
018,Elice Grande para Motor,4,6,,HELICE PLASTICA 4 HOJAS 1.5,,https://velascostore.com/27978-large_default/helice-plastica-4-hojas-1-12-pulgadas.jpg,true
019,INTERRUPTOR DE 6 PINES 6A 125VAC ON-OFF-ON,4.50,7,,Interruptor de palanca ON-OFF-ON de 6 pines. Usado para controlar circuitos eléctricos.,,https://ae01.alicdn.com/kf/HTB1jiZumS3PL1JjSZFxq6ABBVXai.jpg,true
